SELL_ID,model,elasticity,ci_low,ci_high
1070,full,-0.12818483393243948,-0.1412337483759355,-0.11513591948894346
1070,price_only,-0.14535929257329588,-0.17219961920004123,-0.11851896594655054
1070,price_weather,-0.1445912979922638,-0.17094631585518333,-0.11823628012934428
2051,full,-0.10754037314962603,-0.12226694772215439,-0.09281379857709766
2051,price_only,-0.11078469230360284,-0.1332092031538592,-0.08836018145334648
2051,price_weather,-0.11994912434351004,-0.1421800199453508,-0.0977182287416693
2052,full,-0.15162687921939197,-0.16645539132439313,-0.1367983671143908
2052,price_only,-0.14868799835978563,-0.16816544198511774,-0.12921055473445353
2052,price_weather,-0.15037234125732013,-0.1694912077472811,-0.13125347476735916
2053,full,-0.15603902111477147,-0.16387653465877683,-0.1482015075707661
2053,price_only,-0.15727082533937992,-0.17326114211935242,-0.1412805085594074
2053,price_weather,-0.16661737135210924,-0.18236616366117256,-0.15086857904304593
