,PRICE,QUANTITY,YEAR,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR,MONTH,log_Q,log_p
PRICE,1.0,0.6290397377898831,-0.030991229690956936,8.854617243587586e-05,0.032649827823708163,-0.04290487414175874,-0.037264791716813295,-0.11250170978127778,0.5646102957129375,0.9975739389729065
QUANTITY,0.6290397377898831,1.0,0.007008689156905583,-0.2441997961991415,-0.004646844497748472,-0.04206032354002924,-0.09175235181398306,0.028648935267922702,0.9655303884216898,0.6046679805230698
YEAR,-0.030991229690956936,0.007008689156905583,1.0,-0.0018308376672340405,0.3042047381701416,0.07861297429580956,0.041410269674505285,-0.15345528030291702,0.008724252308075124,-0.028941449289147315
IS_WEEKEND,8.854617243587586e-05,-0.2441997961991415,-0.0018308376672340405,1.0,0.013612969042713332,0.001200120029623806,-0.004734355938539885,0.0028797266227571132,-0.25952972126646656,0.00014487124091508587
IS_SCHOOLBREAK,0.032649827823708163,-0.004646844497748472,0.3042047381701416,0.013612969042713332,1.0,0.21764231919544036,-0.08525842480410138,-0.06776731777132859,-0.00025404775372781657,0.03445003350013491
AVERAGE_TEMPERATURE,-0.04290487414175874,-0.04206032354002924,0.07861297429580956,0.001200120029623806,0.21764231919544036,1.0,0.5524821808760301,0.2473947288813832,-0.02723093789252283,-0.05003471638185317
IS_OUTDOOR,-0.037264791716813295,-0.09175235181398306,0.041410269674505285,-0.004734355938539885,-0.08525842480410138,0.5524821808760301,1.0,0.1882148374546068,-0.08035191360406639,-0.04048411925241448
MONTH,-0.11250170978127778,0.028648935267922702,-0.15345528030291702,0.0028797266227571132,-0.06776731777132859,0.2473947288813832,0.1882148374546068,1.0,0.030861023478561286,-0.12139457898105085
log_Q,0.5646102957129375,0.9655303884216898,0.008724252308075124,-0.25952972126646656,-0.00025404775372781657,-0.02723093789252283,-0.08035191360406639,0.030861023478561286,1.0,0.538667994510766
log_p,0.9975739389729065,0.6046679805230698,-0.028941449289147315,0.00014487124091508587,0.03445003350013491,-0.05003471638185317,-0.04048411925241448,-0.12139457898105085,0.538667994510766,1.0
