feature,vif
log_p,96685.98250341284
YEAR,36938.641898187845
PRICE,14489.519367734014
AVERAGE_TEMPERATURE,136.993006183255
HOLIDAY_Not Holiday,113.5604909126534
IS_OUTDOOR,14.677832887962738
MONTH_7,11.593643717042625
MONTH_8,10.956147953907404
MONTH_6,9.73893975356037
MONTH_5,8.043280457123188
MONTH_9,6.430482526752477
MONTH_4,5.320397444503982
MONTH_10,4.092210739354119
HOLIDAY_Luner New Year,3.805380211358102
MONTH_3,3.403757028224678
HOLIDAY_National Day,3.2467785513300615
IS_SCHOOLBREAK,2.7174840715774917
MONTH_11,2.5292175942546233
HOLIDAY_Qing Ming Festival,2.215649818067729
MONTH_2,2.1778115570529537
HOLIDAY_Labor Day,2.1379262389708176
HOLIDAY_New Year,2.0064311457008133
MONTH_12,1.9390836911333587
HOLIDAY_Mid-Autumn Day,1.716627352868582
IS_WEEKEND,1.4033555549298817
HOLIDAY_WWII Celebration,1.311406419993477
